Name,Service Provider
Accounting Customer Service,SSC
Accounts Payable,SSC
Accounts Receivable,SSC
ADDM Atrium Discovery and Dependency Mapping,ITS
Analytics and BI,ITS
API Directory,ITS
Applicants,SSC
Approver Table Maintenance,SSC
Auxiliary IT,Student Life
Batch 1TM,ITS
Batch Access and Accounts,ITS
Batch ARBill,ITS
Batch Asset Space,ITS
Batch Ben,ITS
Batch Campus Solutions,ITS
Batch CC,ITS
Batch DART,ITS
Batch Data Integration,ITS
Batch EDI,ITS
Batch Failure,ITS
Batch GL,ITS
Batch HE,ITS
Batch HR,ITS
Batch ID,ITS
Batch Img,ITS
Batch Inv,ITS
Batch OraDB,ITS
Batch Proc,ITS
Batch PY,ITS
Batch TL,ITS
Batch Unic,ITS
Benefits HRIS,SSC
Benefits Transactions,SSC
BlueDisc,ITS
BMC Remedy,ITS
BOM Bill of Materials Process,ITS
Bomgar,ITS
Business Objects,ITS
Canvas,ITS
Canvas SubAdmin School of Kinesiology Servicelink,ITS
Career Center,Student Life
Chartfield Approval,SSC
Chartfield Maintenance,SSC
Collections Inquiry,SSC
Conveyant,ITS
CoP - Academic Tech,College of Pharmacy
CoP - Server Admin,College of Pharmacy
CoP - Unit IT,College of Pharmacy
CoP - Web Services,College of Pharmacy
Course Roster,ITS
CRM Customer Relationship Management,ITS
CSDC Bill of Materials,ITS
CSDC Billing Analysts,ITS
CSDC BOM WD,ITS
CSDC Engineering,ITS
CSDC Field Service Supervisors,ITS
CSDC Field Service Techs,ITS
CSDC Fixed in Field,ITS
CSDC Operational Support Systems,ITS
CSDC Project Managers,ITS
CSDC Telecommunication Analysts,ITS
CSDC Web Applications,ITS
CSDC Wireless Engineers,ITS
CTools,ITS
CTools Performance,ITS
Customer Service,SSC
DART Development Alumni Application Service,ITS
Data Center Network,ITS
Data HRIS,SSC
Data Integration Developers,ITS
Data Integration Performance,ITS
DDW,ITS
Death Notices,SSC
DEI DIG ART Support,ITS
DEI DIG ECoach Support,ITS
DEI DIG Student Explorer Support,ITS
Depot,ITS
Desktop Backup,ITS
Digital Education and Innovation,ITS
Digital Signage,ITS
Domain Registration,ITS
Domestic Vendor Reporting,SSC
DPSS Housing,DPSS Technology Management
DPSS Medical Center,DPSS Technology Management
DPSS Technology Support,DPSS Technology Management
Employment HRIS,SSC
Employment Services,SSC
Enterprise Data Service,ITS
Enterprise Portal B and F Websites,ITS
ePayments,SSC
eRes Animal Management,ITS
eRes Developers,ITS
eRes M-Inform Conflict of Interest Management,ITS
eRes ORSP Tier3,ITS
eRes Proposal Management,ITS
eRes Regulatory Management,ITS
ESR Administration,SSC
Exchange Email and Calendar,ITS
Expense Report Audit,SSC
Expense Report Creation,SSC
Expense Report Creation Team A,SSC
Expense Report Creation Team B,SSC
Expense Report Creation Team C,SSC
Expense Report Creation Team D,SSC
Expense Report Creation Team E,SSC
Expense Report Creation Team F,SSC
Expense Report Creation Team G,SSC
Expense Report Creation Team H,SSC
Expense Report Creation Team I,SSC
Expense Report Quality,SSC
Expense Report Quality 1,SSC
Expense Report Quality 2,SSC
Facilities and Operations AEC - Unit IT,Facilities & Operations - AEC
Facilities and Operations OSEH - Unit IT,F&O - OSEH
FIN Change Management,ITS
FIN Financials,ITS
FIN HSIP Human Subjects Incentive Payment,ITS
FIN Inventory,ITS
FIN M-Marketsite,ITS
FIN Performance,ITS
FIN Travel and Expense,ITS
Finance Contact Center,SSC
Financial Application Service,ITS
Financial Operations,SSC
FinOps Accounting Operations,SSC
FinOps Financial Reporting,SSC
FinOps Plant Fund,SSC
Flexible Spending Accounts,SSC
Foreign Vendor Reporting,SSC
FP9,ITS
