"","source","target","value"
"1","ITS Service Center","API Directory",6
"2","Depot","Auxiliary IT",33
"3","ITS Service Center","Auxiliary IT",198
"4","NIT Central 3","Auxiliary IT",27
"5","NIT Central 5","Auxiliary IT",18
"6","NIT North 1","Auxiliary IT",13
"7","Analytics and BI","Business Objects",7
"8","FIN Financials","Business Objects",10
"9","ITS Access and Accounts Business Analysts","Business Objects",7
"10","ITS Service Center","Business Objects",121
"11","CoP - Unit IT","CoP - Academic Tech",14
"12","ITS Service Center","CoP - Academic Tech",21
"13","ITS Service Center","CoP - Unit IT",98
"14","NIT Central 4","CoP - Unit IT",36
"15","ITS Service Center","CoP - Web Services",26
"16","CSDC Field Service Supervisors","CSDC Billing Analysts",39
"17","CSDC Field Service Techs","CSDC Billing Analysts",715
"18","CSDC Fixed in Field","CSDC Billing Analysts",341
"19","ITS Network","CSDC Billing Analysts",149
"20","ITS NOC Network Operation Center","CSDC Billing Analysts",448
"21","ITS Service Center","CSDC Billing Analysts",117
"22","UMNet","CSDC Billing Analysts",45
"23","Voice Services Operations","CSDC Billing Analysts",21
"24","Pinnacle","CSDC BOM WD",7
"25","ServiceLink","CSDC BOM WD",7
"26","ITS NOC Network Operation Center","CSDC Field Service Techs",36
"27","CSDC Field Service Techs","CSDC Fixed in Field",22
"28","ITS NOC Network Operation Center","CSDC Fixed in Field",18
"29","ITS NOC Network Operation Center","CSDC Telecommunication Analysts",16
"30","ITS Service Center","CSDC Telecommunication Analysts",13
"31","ITS CTools Service Desk","CTools",66
"32","ITS Service Center","CTools",439
"33","ITS Service Center","DART Development Alumni Application Service",101
"34","ITS Service Center","Data Integration Developers",6
"35","ITS Service Center","Depot",61
"36","ITS Tech Repair","Depot",10
"37","MiWorkspace Advance Team","Depot",9
"38","NIT Central 3","Depot",31
"39","NIT Central 4","Depot",16
"40","NIT Central 5","Depot",7
"41","NIT North 1","Depot",22
"42","NIT South 2","Depot",19
"43","ITS Service Center","Desktop Backup",53
"44","ITS Service Center","Digital Signage",62
"45","ITS Service Center","eRes Animal Management",21
"46","ITS Service Center","eRes M-Inform Conflict of Interest Management",112
"47","eRes Regulatory Management","eRes Proposal Management",10
"48","ITS Service Center","eRes Proposal Management",288
"49","ITS Service Center","eRes Regulatory Management",123
"50","ITS Service Center","Exchange Email and Calendar",7
"51","Depot","Facilities and Operations AEC - Unit IT",26
"52","ITS Service Center","Facilities and Operations AEC - Unit IT",60
"53","ITS Transition Desk","Facilities and Operations AEC - Unit IT",6
"54","MiWorkspace Engineering Windows","Facilities and Operations AEC - Unit IT",8
"55","NIT South 2","Facilities and Operations AEC - Unit IT",36
"56","Plant - Support","Facilities and Operations AEC - Unit IT",6
"57","Depot","Facilities and Operations OSEH - Unit IT",6
"58","NIT South 2","Facilities and Operations OSEH - Unit IT",8
"59","FIN Travel and Expense","FIN Financials",7
"60","ITS Access and Accounts","FIN Financials",8
"61","ITS Service Center","FIN Financials",368
"62","MReports","FIN Financials",13
"63","ITS Service Center","FIN M-Marketsite",17
"64","FIN Financials","FIN Travel and Expense",6
"65","ITS Service Center","FIN Travel and Expense",55
"66","ITS Service Center","FSPP - Unit IT",16
"67","NIT Central 5","FSPP - Unit IT",14
"68","ITS Network","Hostmaster-DNS-DHCP",8
"69","ITS Service Center","Hostmaster-DNS-DHCP",22
"70","ITS Service Center","HR Benefits",34
"71","ITS Service Center","HR Campus Community",23
"72","Human Resources Application Service","HR Human Resources",12
"73","ITS Access and Accounts","HR Human Resources",6
"74","ITS Service Center","HR Human Resources",179
"75","HR Human Resources","HR Payroll Time and Labor",32
"76","ITS Access and Accounts","HR Payroll Time and Labor",6
"77","ITS Service Center","HR Payroll Time and Labor",209
"78","HR Human Resources","HR Reports",14
"79","ITS Service Center","HR Reports",15
"80","ITS Service Center","IAM Active Directory",30
"81","ITS Windows Infrastructure","IAM Active Directory",13
"82","MiWorkspace Engineering Windows","IAM Active Directory",6
"83","ITS Service Center","IAM Mcard",14
"84","IAM Operations and Data","IAM MCommunity",19
"85","Identity and Access Management Application Services","IAM MCommunity",6
"86","ITS Access and Accounts","IAM MCommunity",22
"87","ITS Service Center","IAM MCommunity",134
"88","HR Campus Community","IAM Operations and Data",20
"89","IAM MCommunity","IAM Operations and Data",16
"90","IAM Provisioning and Accounts","IAM Operations and Data",12
"91","Identity and Access Management Application Services","IAM Operations and Data",14
"92","ITS Access and Accounts","IAM Operations and Data",170
"93","ITS Service Center","IAM Operations and Data",30
"94","ITS Service Center","IAM Provisioning and Accounts",7
"95","ITS Service Center","IAM Single Sign On",13
"96","ITS Access and Accounts Business Analysts","IAM Two Factor",20
"97","ITS Service Center","IAM Two Factor",27
"98","ITS Service Center","Identity and Access Management Application Services",10
"99","ITS Storage","Identity and Access Management Application Services",7
"100","ITS Service Center","Imaging Service",77
"101","FIN Financials","ITS Access and Accounts",6
"102","HR Campus Community","ITS Access and Accounts",19
"103","HR Human Resources","ITS Access and Accounts",8
"104","HR Payroll Time and Labor","ITS Access and Accounts",7
"105","IAM MCommunity","ITS Access and Accounts",7
"106","IAM Operations and Data","ITS Access and Accounts",12
"107","ITS Access and Accounts Business Analysts","ITS Access and Accounts",8
"108","ITS Service Center","ITS Access and Accounts",431
"109","My LINC","ITS Access and Accounts",7
"110","SA Recruiting Admissions","ITS Access and Accounts",10
"111","SA Student Records Advising Curriculum","ITS Access and Accounts",18
"112","ServiceLink","ITS Access and Accounts",7
"113","Business Objects","ITS Access and Accounts Business Analysts",19
"114","ITS Access and Accounts","ITS Access and Accounts Business Analysts",51
"115","ITS Service Center","ITS Access and Accounts Business Analysts",118
"116","ITS Unit Liaison","ITS Access and Accounts Business Analysts",32
"117","OARS Online Access Request System","ITS Access and Accounts Business Analysts",16
"118","Oracle DBA","ITS Access and Accounts Business Analysts",8
